method,gene,n_deleted,n_total,percent
grch37_threshold_-0.4_ge1Mb,FOXO3,42,262,16.030534351145036
grch37_threshold_-0.4_ge1Mb,TNFAIP3,26,262,9.923664122137405
grch37_threshold_-0.4_ge1Mb,HACE1,33,262,12.595419847328243
grch37_threshold_-0.4_ge1Mb,GRIK2,32,262,12.213740458015266
grch37_threshold_-0.4_ge1Mb,EPHA7,21,262,8.015267175572518
grch37_threshold_-0.4_ge1Mb,MYB,26,262,9.923664122137405
grch37_threshold_-0.4_ge1Mb,PRDM1,36,262,13.740458015267176
grch37_threshold_-0.4_ge1Mb,BACH2,20,262,7.633587786259542
grch37_threshold_-0.4_ge1Mb,LATS1,27,262,10.305343511450381
grch37_threshold_-0.4_ge1Mb,CDKN2A,49,262,18.702290076335878
grch37_threshold_-0.4_ge1Mb,PAX5,11,262,4.198473282442748
grch37_threshold_-0.4_ge1Mb,IKZF1,1,262,0.38167938931297707
grch37_raw_segment_threshold_-0.4,FOXO3,42,262,16.030534351145036
grch37_raw_segment_threshold_-0.4,TNFAIP3,27,262,10.305343511450381
grch37_raw_segment_threshold_-0.4,HACE1,33,262,12.595419847328243
grch37_raw_segment_threshold_-0.4,GRIK2,32,262,12.213740458015266
grch37_raw_segment_threshold_-0.4,EPHA7,22,262,8.396946564885496
grch37_raw_segment_threshold_-0.4,MYB,26,262,9.923664122137405
grch37_raw_segment_threshold_-0.4,PRDM1,36,262,13.740458015267176
grch37_raw_segment_threshold_-0.4,BACH2,20,262,7.633587786259542
grch37_raw_segment_threshold_-0.4,LATS1,27,262,10.305343511450381
grch37_raw_segment_threshold_-0.4,CDKN2A,80,262,30.53435114503817
grch37_raw_segment_threshold_-0.4,PAX5,73,262,27.86259541984733
grch37_raw_segment_threshold_-0.4,IKZF1,4,262,1.5267175572519083
