permutation,permuted_nested_pipeline_mean_fold_auc
1,0.3816666666666667
2,0.605
3,0.5143859649122807
4,0.29096491228070176
5,0.5195614035087719
6,0.5411403508771929
7,0.3318421052631579
8,0.3599122807017544
9,0.6245614035087719
10,0.6750877192982456
11,0.29157894736842105
12,0.37561403508771934
13,0.537719298245614
14,0.7961403508771929
15,0.6220175438596491
16,0.6693859649122806
17,0.4714912280701755
18,0.5483333333333333
19,0.5714035087719298
20,0.3329824561403508
21,0.43149122807017537
22,0.5610526315789474
23,0.3885087719298245
24,0.5167543859649123
25,0.5646491228070175
26,0.5712280701754386
27,0.5421052631578949
28,0.4014912280701754
29,0.5919298245614035
30,0.45741228070175444
31,0.6390350877192983
32,0.5760526315789474
33,0.6516666666666666
34,0.6585964912280702
35,0.4912280701754387
36,0.4478070175438596
37,0.24877192982456137
38,0.3764035087719298
39,0.5211403508771929
40,0.31078947368421056
41,0.6151754385964912
42,0.6576315789473683
43,0.5959649122807018
44,0.6067543859649123
45,0.6052631578947368
46,0.7497368421052631
47,0.34833333333333333
48,0.3821052631578948
49,0.43377192982456136
50,0.5310526315789473
51,0.4064035087719298
52,0.613421052631579
53,0.49842105263157893
54,0.6028947368421053
55,0.5083333333333334
56,0.2664035087719298
57,0.6614035087719298
58,0.36473684210526314
59,0.5248245614035087
60,0.49631578947368427
61,0.37894736842105264
62,0.5396491228070175
63,0.4670175438596491
64,0.4807017543859649
65,0.43881578947368427
66,0.42552631578947364
67,0.5439473684210527
68,0.8008771929824562
69,0.4439473684210526
70,0.43605263157894736
71,0.26842105263157895
72,0.5728070175438595
73,0.4301754385964912
74,0.41535087719298247
75,0.5703508771929824
76,0.5505263157894738
77,0.42254385964912283
78,0.6168421052631579
79,0.27070175438596494
80,0.6741228070175439
81,0.437017543859649
82,0.5036842105263158
83,0.3525438596491228
84,0.6024561403508771
85,0.37982456140350884
86,0.6556140350877193
87,0.2768421052631579
88,0.4242105263157894
89,0.37868421052631585
90,0.4021929824561403
91,0.4574561403508772
92,0.5192105263157895
93,0.39771929824561403
94,0.4987719298245614
95,0.3958771929824561
96,0.44535087719298244
97,0.32149122807017544
98,0.3325438596491228
99,0.5185087719298245
100,0.5105263157894737
101,0.5347368421052632
102,0.4226315789473684
103,0.7060526315789473
104,0.5330701754385966
105,0.6323684210526316
106,0.5971929824561404
107,0.38473684210526315
108,0.6590350877192983
109,0.6666666666666666
110,0.5691228070175438
111,0.5321052631578947
112,0.4682456140350878
113,0.46947368421052627
114,0.6950877192982456
115,0.488421052631579
116,0.4878947368421052
117,0.5219298245614035
118,0.6413157894736841
119,0.33771929824561403
120,0.5155263157894737
121,0.5718421052631578
122,0.4942982456140351
123,0.3721052631578947
124,0.6613157894736842
125,0.41491228070175445
126,0.5726315789473684
127,0.6769298245614035
128,0.47833333333333333
129,0.4564912280701754
130,0.5057017543859649
131,0.41657894736842105
132,0.576140350877193
133,0.3769298245614035
134,0.4278947368421052
135,0.6299122807017543
136,0.4135964912280702
137,0.4666666666666667
138,0.6777192982456139
139,0.22850877192982458
140,0.43175438596491234
141,0.5615789473684211
142,0.35100877192982455
143,0.2799122807017544
144,0.36333333333333334
145,0.6015789473684211
146,0.2642982456140351
147,0.7014912280701755
148,0.7553508771929826
149,0.595
150,0.669561403508772
151,0.5218421052631579
152,0.5720175438596492
153,0.4841228070175439
154,0.555438596491228
155,0.4766666666666667
156,0.6233333333333333
157,0.5833333333333334
158,0.7068421052631579
159,0.6697368421052632
160,0.4269298245614035
161,0.5729824561403509
162,0.5544736842105263
163,0.6163157894736842
164,0.5265350877192982
165,0.5753508771929825
166,0.47412280701754383
167,0.5128508771929824
168,0.5458771929824562
169,0.619298245614035
170,0.5012280701754387
171,0.3135964912280702
172,0.4778070175438597
173,0.6870175438596491
174,0.6764035087719298
175,0.5123684210526316
176,0.6051754385964913
177,0.4871052631578948
178,0.4279824561403509
179,0.4181578947368421
180,0.4535087719298246
181,0.5589473684210526
182,0.4207017543859649
183,0.4890350877192982
184,0.586140350877193
185,0.533421052631579
186,0.4564035087719299
187,0.392280701754386
188,0.44728070175438595
189,0.6704385964912281
190,0.6471929824561404
191,0.5626315789473684
192,0.3514912280701754
193,0.47973684210526313
194,0.5424561403508772
195,0.36421052631578943
196,0.6485964912280702
197,0.5669298245614035
198,0.6671929824561403
199,0.6893859649122807
200,0.3768421052631579
