outer_fold,fold_auc,fold_balanced_accuracy,sensitivity,specificity,selected_genes,test_n,test_positive,repeat
1,0.95,0.8083333333333333,0.6666666666666666,0.95,10.0,23.0,3.0,1
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,1
3,1.0,1.0,1.0,1.0,50.0,22.0,2.0,1
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,1
5,1.0,0.9736842105263157,1.0,0.9473684210526315,10.0,21.0,2.0,1
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,2
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,2
3,1.0,0.975,1.0,0.95,50.0,22.0,2.0,2
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,2
5,0.9473684210526315,0.9736842105263157,1.0,0.9473684210526315,10.0,21.0,2.0,2
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,3
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,3
3,1.0,1.0,1.0,1.0,10.0,22.0,2.0,3
4,1.0,0.975,1.0,0.95,10.0,22.0,2.0,3
5,1.0,0.9736842105263157,1.0,0.9473684210526315,10.0,21.0,2.0,3
1,0.95,0.975,1.0,0.95,10.0,23.0,3.0,4
2,1.0,0.975,1.0,0.95,10.0,22.0,2.0,4
3,1.0,1.0,1.0,1.0,10.0,22.0,2.0,4
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,4
5,1.0,1.0,1.0,1.0,10.0,21.0,2.0,4
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,5
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,5
3,0.95,0.95,1.0,0.9,10.0,22.0,2.0,5
4,1.0,1.0,1.0,1.0,50.0,22.0,2.0,5
5,1.0,1.0,1.0,1.0,10.0,21.0,2.0,5
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,6
2,1.0,0.975,1.0,0.95,10.0,22.0,2.0,6
3,1.0,0.975,1.0,0.95,10.0,22.0,2.0,6
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,6
5,1.0,1.0,1.0,1.0,10.0,21.0,2.0,6
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,7
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,7
3,1.0,1.0,1.0,1.0,10.0,22.0,2.0,7
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,7
5,0.9736842105263158,0.9736842105263157,1.0,0.9473684210526315,50.0,21.0,2.0,7
1,1.0,1.0,1.0,1.0,10.0,23.0,3.0,8
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,8
3,0.95,0.975,1.0,0.95,10.0,22.0,2.0,8
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,8
5,1.0,1.0,1.0,1.0,10.0,21.0,2.0,8
1,1.0,0.8333333333333333,0.6666666666666666,1.0,10.0,23.0,3.0,9
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,9
3,0.975,0.975,1.0,0.95,10.0,22.0,2.0,9
4,1.0,0.975,1.0,0.95,10.0,22.0,2.0,9
5,1.0,1.0,1.0,1.0,50.0,21.0,2.0,9
1,0.9666666666666667,0.975,1.0,0.95,10.0,23.0,3.0,10
2,1.0,1.0,1.0,1.0,10.0,22.0,2.0,10
3,1.0,1.0,1.0,1.0,10.0,22.0,2.0,10
4,1.0,1.0,1.0,1.0,10.0,22.0,2.0,10
5,1.0,1.0,1.0,1.0,10.0,21.0,2.0,10
