repeat,outer_fold,model,nested_cv_c_index,selected_penalty,test_n,test_events
1,1,clinical,0.5532786885245902,10.0,29,5
1,1,clinical_plus_gain16,0.6475409836065574,0.1,29,5
1,1,clinical_plus_karyotype,0.48360655737704916,10.0,29,5
1,2,clinical,0.6961538461538461,0.1,29,5
1,2,clinical_plus_gain16,0.7846153846153846,0.1,29,5
1,2,clinical_plus_karyotype,0.5769230769230769,10.0,29,5
1,3,clinical,0.512396694214876,0.1,28,5
1,3,clinical_plus_gain16,0.628099173553719,0.1,28,5
1,3,clinical_plus_karyotype,0.5578512396694215,1.0,28,5
1,4,clinical,0.6541666666666667,0.1,28,5
1,4,clinical_plus_gain16,0.675,1.0,28,5
1,4,clinical_plus_karyotype,0.4625,0.1,28,5
1,5,clinical,0.44680851063829785,0.1,27,4
1,5,clinical_plus_gain16,0.40425531914893614,0.1,27,4
1,5,clinical_plus_karyotype,0.5106382978723404,0.1,27,4
2,1,clinical,0.3055555555555556,0.1,29,5
2,1,clinical_plus_gain16,0.3055555555555556,0.1,29,5
2,1,clinical_plus_karyotype,0.40476190476190477,1.0,29,5
2,2,clinical,0.6811023622047244,0.1,29,5
2,2,clinical_plus_gain16,0.6023622047244095,0.1,29,5
2,2,clinical_plus_karyotype,0.531496062992126,0.1,29,5
2,3,clinical,0.603448275862069,10.0,28,5
2,3,clinical_plus_gain16,0.728448275862069,10.0,28,5
2,3,clinical_plus_karyotype,0.7155172413793104,0.1,28,5
2,4,clinical,0.528,0.1,28,5
2,4,clinical_plus_gain16,0.528,0.1,28,5
2,4,clinical_plus_karyotype,0.468,1.0,28,5
2,5,clinical,0.765625,0.1,27,4
2,5,clinical_plus_gain16,0.4739583333333333,0.1,27,4
2,5,clinical_plus_karyotype,0.4895833333333333,10.0,27,4
3,1,clinical,0.5984251968503937,0.1,29,5
3,1,clinical_plus_gain16,0.6456692913385826,1.0,29,5
3,1,clinical_plus_karyotype,0.5787401574803149,1.0,29,5
3,2,clinical,0.4628099173553719,10.0,29,5
3,2,clinical_plus_gain16,0.5867768595041323,0.1,29,5
3,2,clinical_plus_karyotype,0.6363636363636364,0.1,29,5
3,3,clinical,0.6352459016393442,0.1,28,5
3,3,clinical_plus_gain16,0.6229508196721312,0.1,28,5
3,3,clinical_plus_karyotype,0.5819672131147541,10.0,28,5
3,4,clinical,0.725,0.1,28,5
3,4,clinical_plus_gain16,0.8333333333333334,0.1,28,5
3,4,clinical_plus_karyotype,0.6041666666666666,0.1,28,5
3,5,clinical,0.336734693877551,0.1,27,4
3,5,clinical_plus_gain16,0.336734693877551,0.1,27,4
3,5,clinical_plus_karyotype,0.3622448979591837,0.1,27,4
4,1,clinical,0.5692307692307692,1.0,29,5
4,1,clinical_plus_gain16,0.5461538461538461,10.0,29,5
4,1,clinical_plus_karyotype,0.4807692307692308,0.1,29,5
4,2,clinical,0.8076923076923077,0.1,29,5
4,2,clinical_plus_gain16,0.7735042735042735,0.1,29,5
4,2,clinical_plus_karyotype,0.5598290598290598,10.0,29,5
4,3,clinical,0.45934959349593496,0.1,28,5
4,3,clinical_plus_gain16,0.6300813008130082,10.0,28,5
4,3,clinical_plus_karyotype,0.4959349593495935,0.1,28,5
4,4,clinical,0.6016260162601627,1.0,28,5
4,4,clinical_plus_gain16,0.5609756097560976,1.0,28,5
4,4,clinical_plus_karyotype,0.556910569105691,0.1,28,5
4,5,clinical,0.2712765957446808,0.1,27,4
4,5,clinical_plus_gain16,0.425531914893617,0.1,27,4
4,5,clinical_plus_karyotype,0.3829787234042553,10.0,27,4
5,1,clinical,0.6181102362204725,0.1,29,5
5,1,clinical_plus_gain16,0.6181102362204725,0.1,29,5
5,1,clinical_plus_karyotype,0.41732283464566927,1.0,29,5
5,2,clinical,0.628,0.1,29,5
5,2,clinical_plus_gain16,0.56,0.1,29,5
5,2,clinical_plus_karyotype,0.296,1.0,29,5
5,3,clinical,0.5041666666666667,0.1,28,5
5,3,clinical_plus_gain16,0.6625,0.1,28,5
5,3,clinical_plus_karyotype,0.8125,0.1,28,5
5,4,clinical,0.6440677966101694,0.1,28,5
5,4,clinical_plus_gain16,0.635593220338983,0.1,28,5
5,4,clinical_plus_karyotype,0.5169491525423728,0.1,28,5
5,5,clinical,0.5463917525773195,0.1,27,4
5,5,clinical_plus_gain16,0.5463917525773195,0.1,27,4
5,5,clinical_plus_karyotype,0.5309278350515464,0.1,27,4
