repeat,outer_fold,clinical,clinical_plus_gain16,clinical_plus_karyotype,gain16_minus_clinical,karyotype_minus_clinical
1,1,0.5532786885245902,0.6475409836065574,0.48360655737704916,0.09426229508196726,-0.069672131147541
1,2,0.6961538461538461,0.7846153846153846,0.5769230769230769,0.08846153846153848,-0.11923076923076925
1,3,0.512396694214876,0.628099173553719,0.5578512396694215,0.11570247933884303,0.045454545454545525
1,4,0.6541666666666667,0.675,0.4625,0.02083333333333337,-0.19166666666666665
1,5,0.44680851063829785,0.40425531914893614,0.5106382978723404,-0.04255319148936171,0.06382978723404253
2,1,0.3055555555555556,0.3055555555555556,0.40476190476190477,0.0,0.09920634920634919
2,2,0.6811023622047244,0.6023622047244095,0.531496062992126,-0.07874015748031493,-0.14960629921259838
2,3,0.603448275862069,0.728448275862069,0.7155172413793104,0.125,0.11206896551724144
2,4,0.528,0.528,0.468,0.0,-0.06
2,5,0.765625,0.4739583333333333,0.4895833333333333,-0.2916666666666667,-0.2760416666666667
3,1,0.5984251968503937,0.6456692913385826,0.5787401574803149,0.04724409448818889,-0.019685039370078816
3,2,0.4628099173553719,0.5867768595041323,0.6363636363636364,0.12396694214876036,0.17355371900826444
3,3,0.6352459016393442,0.6229508196721312,0.5819672131147541,-0.012295081967213073,-0.05327868852459017
3,4,0.725,0.8333333333333334,0.6041666666666666,0.10833333333333339,-0.12083333333333335
3,5,0.336734693877551,0.336734693877551,0.3622448979591837,0.0,0.02551020408163268
4,1,0.5692307692307692,0.5461538461538461,0.4807692307692308,-0.023076923076923106,-0.08846153846153842
4,2,0.8076923076923077,0.7735042735042735,0.5598290598290598,-0.03418803418803418,-0.24786324786324787
4,3,0.45934959349593496,0.6300813008130082,0.4959349593495935,0.1707317073170732,0.036585365853658514
4,4,0.6016260162601627,0.5609756097560976,0.556910569105691,-0.04065040650406504,-0.04471544715447162
4,5,0.2712765957446808,0.425531914893617,0.3829787234042553,0.1542553191489362,0.11170212765957449
5,1,0.6181102362204725,0.6181102362204725,0.41732283464566927,0.0,-0.20078740157480318
5,2,0.628,0.56,0.296,-0.06799999999999995,-0.332
5,3,0.5041666666666667,0.6625,0.8125,0.15833333333333333,0.30833333333333335
5,4,0.6440677966101694,0.635593220338983,0.5169491525423728,-0.008474576271186418,-0.1271186440677966
5,5,0.5463917525773195,0.5463917525773195,0.5309278350515464,0.0,-0.015463917525773141
